Action,1496,2979,0.5
Sports,1464,2558,0.57
Misc ,904,2224,0.4
Adventure,505,1848,0.27
Role-Playing,1142,1808,0.63
Shooter,1340,1550,0.86
Racing,806,1423,0.56
Simulation,470,1134,0.41
Platform,999,1123,0.88
Fighting,512,945,0.54
